Variable Name	Variable Description	Data File Name	Data File Description	Begin Year	EndYear
WTSPH27	Phthalate Mec Weight Jack Knife Rep 27	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH28	Phthalate Mec Weight Jack Knife Rep 28	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH29	Phthalate Mec Weight Jack Knife Rep 29	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH2YR	Phthalate Subsample 2 year Mec Weight	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH30	Phthalate Mec Weight Jack Knife Rep 30	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH31	Phthalate Mec Weight Jack Knife Rep 31	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH32	Phthalate Mec Weight Jack Knife Rep 32	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH33	Phthalate Mec Weight Jack Knife Rep 33	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH34	Phthalate Mec Weight Jack Knife Rep 34	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH35	Phthalate Mec Weight Jack Knife Rep 35	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH36	Phthalate Mec Weight Jack Knife Rep 36	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH37	Phthalate Mec Weight Jack Knife Rep 37	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH38	Phthalate Mec Weight Jack Knife Rep 38	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH39	Phthalate Mec Weight Jack Knife Rep 39	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH40	Phthalate Mec Weight Jack Knife Rep 40	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH41	Phthalate Mec Weight Jack Knife Rep 41	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH42	Phthalate Mec Weight Jack Knife Rep 42	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH43	Phthalate Mec Weight Jack Knife Rep 43	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH44	Phthalate Mec Weight Jack Knife Rep 44	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH45	Phthalate Mec Weight Jack Knife Rep 45	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH46	Phthalate Mec Weight Jack Knife Rep 46	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH47	Phthalate Mec Weight Jack Knife Rep 47	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH48	Phthalate Mec Weight Jack Knife Rep 48	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH49	Phthalate Mec Weight Jack Knife Rep 49	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH4YR	Phthalate Subsample 4 year Mec	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH50	Phthalate Mec Weight Jack Knife Rep 50	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH51	Phthalate Mec Weight Jack Knife Rep 51	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
WTSPH52	Phthalate Mec Weight Jack Knife Rep 52	SSAFB_A	Aflatoxin B1-lysine - Serum (Surplus)	1999	2000
URDACT	First albumin creatinine ratio (mg/g)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URDACT	Albumin creatinine ratio (mg/g)	ALB_CR_G	Albumin & Creatinine - Urine	2011	2012
URDACT	Albumin creatinine ratio (mg/g)	ALB_CR_H	Albumin & Creatinine - Urine	2013	2014
URDACT	Albumin creatinine ratio (mg/g)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016
URDACT	Albumin creatinine ratio (mg/g)	ALB_CR_J	Albumin & Creatinine - Urine	2017	2018
URDACT2	Second albumin creatinine ratio (mg/g)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URDACT2	Second albumin creatinine ratio (mg/g)	ALCR_G_R	Albumin & Creatinine - Urine	2011	2011
URDUCR2S	Second creatinine, urine (umol/L)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URDUCR2S	Second Creatinine, urine (umol/L)	ALCR_G_R	Albumin & Creatinine - Urine	2011	2011
URDUMA2S	Second albumin, urine (mg/L)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URDUMA2S	Second albumin, urine (mg/L)	ALCR_G_R	Albumin & Creatinine - Urine	2011	2011
URXCRS	Creatinine, urine (umol/L)	ALB_CR_E	Albumin & Creatinine - Urine	2007	2008
URXCRS	Creatinine, urine (umol/L)	ALB_CR_D	Albumin & Creatinine - Urine	2005	2006
URXCRS	Creatinine, urine (umol/L)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URXCRS	Creatinine, urine (umol/L)	ALB_CR_G	Albumin & Creatinine - Urine	2011	2012
URXCRS	Creatinine, urine (umol/L)	ALB_CR_H	Albumin & Creatinine - Urine	2013	2014
URXCRS	Creatinine, urine (umol/L)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016
URXCRS	Creatinine, urine (umol/L)	ALB_CR_J	Albumin & Creatinine - Urine	2017	2018
URXUCR	Creatinine, urine (mg/dL)	ALB_CR_E	Albumin & Creatinine - Urine	2007	2008
URXUCR	Creatinine, urine (mg/dL)	LAB16	Albumin & Creatinine - Urine	1999	2000
URXUCR	Creatinine, urine (mg/dL)	ALB_CR_D	Albumin & Creatinine - Urine	2005	2006
URXUCR	Creatinine, urine (mg/dL)	L16_C	Albumin & Creatinine - Urine	2003	2004
URXUCR	Creatinine, urine (mg/dL)	L16_B	Albumin & Creatinine - Urine	2001	2002
URXUCR	Creatinine, urine (mg/dL)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URXUCR	Creatinine, urine (mg/dL)	ALB_CR_G	Albumin & Creatinine - Urine	2011	2012
URXUCR	Creatinine, urine (mg/dL)	ALB_CR_H	Albumin & Creatinine - Urine	2013	2014
URXUCR	Creatinine, urine (mg/dL)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016
URXUCR	Creatinine, urine (mg/dL)	ALB_CR_J	Albumin & Creatinine - Urine	2017	2018
URXUCR2	Second creatinine (mg/dL)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URXUCR2	Second creatinine (mg/dL)	ALCR_G_R	Albumin & Creatinine - Urine	2011	2011
URXUCRSI	Creatinine, urine (umol/L)	LAB16	Albumin & Creatinine - Urine	1999	2000
URXUCRSI	Creatinine, urine (umol/L)	L16_C	Albumin & Creatinine - Urine	2003	2004
URXUCRSI	Creatinine, urine (umol/L)	L16_B	Albumin & Creatinine - Urine	2001	2002
URXUMA	Albumin, urine (ug/mL)	ALB_CR_E	Albumin & Creatinine - Urine	2007	2008
URXUMA	Albumin, urine (ug/mL)	LAB16	Albumin & Creatinine - Urine	1999	2000
URXUMA	Albumin, urine (ug/mL)	ALB_CR_D	Albumin & Creatinine - Urine	2005	2006
URXUMA	Albumin, urine (ug/mL)	L16_C	Albumin & Creatinine - Urine	2003	2004
URXUMA	Albumin, urine (ug/mL)	L16_B	Albumin & Creatinine - Urine	2001	2002
URXUMA	Albumin, urine (ug/mL)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URXUMA	Albumin, urine (ug/mL)	ALB_CR_G	Albumin & Creatinine - Urine	2011	2012
URXUMA	Albumin, urine (ug/mL)	ALB_CR_H	Albumin & Creatinine - Urine	2013	2014
URXUMA	Albumin, urine (ug/mL)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016
URXUMA	Albumin, urine (ug/mL)	ALB_CR_J	Albumin & Creatinine - Urine	2017	2018
URXUMA2	Second albumin (ug/mL)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URXUMA2	Second albumin, urine (ug/mL)	ALCR_G_R	Albumin & Creatinine - Urine	2011	2011
URXUMASI	Albumin, urine (mg/L) SI	LAB16	Albumin & Creatinine - Urine	1999	2000
URXUMASI	Albumin, urine (mg/L) SI	L16_C	Albumin & Creatinine - Urine	2003	2004
URXUMASI	Albumin, urine (mg/L) SI	L16_B	Albumin & Creatinine - Urine	2001	2002
URXUMS	Albumin, urine (mg/L)	ALB_CR_E	Albumin & Creatinine - Urine	2007	2008
URXUMS	Albumin, urine (mg/L)	ALB_CR_D	Albumin & Creatinine - Urine	2005	2006
URXUMS	Albumin, urine (mg/L)	ALB_CR_F	Albumin & Creatinine - Urine	2009	2010
URXUMS	Albumin, urine (mg/L)	ALB_CR_G	Albumin & Creatinine - Urine	2011	2012
URXUMS	Albumin, urine (mg/L)	ALB_CR_H	Albumin & Creatinine - Urine	2013	2014
URXUMS	Albumin, urine (mg/L)	ALB_CR_I	Albumin & Creatinine - Urine	2015	2016
URXUMS	Albumin, urine (mg/L)	ALB_CR_J	Albumin & Creatinine - Urine	2017	2018
LBX10AL	Decanaldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBX3AL	Propanaldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBX4AL	Butyraldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBX5AL	Pentanaldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBX6AL	Hexanaldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBX7AL	Heptanaldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBX8AL	Octanaldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBX9AL	 	ALD_H	Aldehydes - Serum	2013	2014
LBXBZAL	Benzaldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBXCRAL	Crotonaldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBXI5AL	Isopentanaldehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
LBXTLAL	o-Tolualdehyde (ng/mL)	ALD_H	Aldehydes - Serum	2013	2014
WTALD2YR	Two Year Aldehyde Subsample Weights	ALD_H	Aldehydes - Serum	2013	2014
LBX10AL	Decanaldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBX3AL	Propanaldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBX4AL	Butyraldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBX5AL	Pentanaldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBX6AL	Hexanaldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBX7AL	Heptanaldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBX8AL	Octanaldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBX9AL	 	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBXBZAL	Benzaldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBXCRAL	Crotonaldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBXI5AL	Isopentanaldehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBXTLAL	o-Tolualdehyde (ng/mL)	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
WTALDS2Y	Two Year Aldehyde Smoking Weights	ALDS_H	Aldehydes - Serum - Special Sample	2013	2014
LBXE72	Serum IgE antibody to mouse urine proteins, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXE74	Serum IgE antibody to rat urine proteins, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXF13	Serum IgE antibody to Peanut, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXF24	Serum IgE antibody to Shrimp, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXID1	Serum IgE antibody to Dermatophagoides Pteronyssinus, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXID2	Serum IgE antibody to Dermatophagoides Farinae, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIE1	Serum IgE antibody to Cat Epithelium and Dander, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIE5	Serum IgE antibody to Dog Dander, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIF1	Serum IgE antibody to Egg , result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIF2	Serum IgE antibody to Milk , result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIG2	Serum IgE antibody to Bermuda Grass, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIG5	Serum IgE antibody to Rye Grass, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIGE	Serum Total IgE antibody, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXII6	Serum IgE antibody to German Cockroach, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIM3	Serum IgE antibody to Aspergillus Fumigatus, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIM6	Serum IgE antibody to Alternaria Alternata, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIT3	Serum IgE antibody to Birch Tree, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIT7	Serum IgE antibody to White Oak, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXIW1	Serum IgE antibody to Common Ragweed, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
LBXW11	Serum IgE antibody to Russian Thistle, result (kU/L)	AL_IGE_D	Allergen Specific IgE(s) & Total IgE - Serum	2005	2006
AADBDSP	Bed Space Vacuumed (square inches)	ALDUST_D	Allergens - Household Dust	2005	2006
AADBDTIM	Bed Vacuum Time (seconds)	ALDUST_D	Allergens - Household Dust	2005	2006
AADBDTYP	Type of Bed	ALDUST_D	Allergens - Household Dust	2005	2006
AADFLSP	Floor Space Vacuumed (square inches)	ALDUST_D	Allergens - Household Dust	2005	2006
AADFLTIM	Floor Vacuum Time (seconds)	ALDUST_D	Allergens - Household Dust	2005	2006
AAXBDPLW	Impermeable Pillow Cover	ALDUST_D	Allergens - Household Dust	2005	2006
AAXBDSUR	Bed Surface Vacuumed	ALDUST_D	Allergens - Household Dust	2005	2006
AAXFLTYP	Type of Floor Covering	ALDUST_D	Allergens - Household Dust	2005	2006
AAXRMDES	Room Description	ALDUST_D	Allergens - Household Dust	2005	2006
AAXRMHUM	Room Humidity (%)	ALDUST_D	Allergens - Household Dust	2005	2006
AAXRMTMP	Room Temperature (F)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXAA1	Fungus Alternaria alternata 1 (Alt a 1) dust antigen, result (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXAF1	Fungus Aspergillus fumigatus dust antigen, result (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXAF1LD	Fungus Aspergillus fumigatus dust antigen, limit of detection (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXBG1	German cockroach Blattella germanica 1 (Bla g 1) dust antigen, result (U/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXBG1LD	German cockroach Blattella germanica 1 (Bla g 1) dust antigen, limit of detection (U/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXBG2	German cockroach Blattella germanica 2 (Bla g 2) dust antigen, result (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXCF1	Dog allergen Canis familiaris 1 (Can f 1) dust antigen, result (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXDF1	Dust mite Dermatophagoides farinae 1 (Der f 1) dust antigen, result (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXDP1	Dust mite Dermatophagoides pteronyssinus 1 (Der p 1) dust antigen, result (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXENX	Endotoxin dust, result (EU/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXFD1	Cat allergen Felis domesticus 1 (Fel d 1) dust allergen, result (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXMM1	Mouse urinary protein (Mus m 1) dust antigen, result (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
DSXRN1	Rat urinary protein (Rat n 1) dust antigen, result (ng/mL dust)	ALDUST_D	Allergens - Household Dust	2005	2006
LBXDWS	Sieved dust weight (mg)	ALDUST_D	Allergens - Household Dust	2005	2006
LBXDWT	Total dust weight (mg)	ALDUST_D	Allergens - Household Dust	2005	2006
WTAL2YR	Dust Allergen Subsample 2-Year Weight	ALDUST_D	Allergens - Household Dust	2005	2006
SSTCAMFI	Toxocara mean florescent intensity	SSTOCA_G	Antibody to Toxocara spp. (Surplus)	2011	2012
SSTCAMFI	Toxocara mean florescent intensity	SSTOCA_H	Antibody to Toxocara spp. (Surplus)	2013	2014
SSAMH	Anti-Mullerian Hormone (ng/ml)	SSAMH_A	Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)	1999	2000
SSAMH	Anti-Mullerian Hormone (ng/ml)	SSAMH_B	Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)	2001	2002
SSAMH	Anti-Mullerian Hormone (ng/ml)	SSAMH_C	Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)	2003	2004
SSINHBIN	Inhibin B (pg/ml)	SSAMH_A	Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)	1999	2000
SSINHBIN	Inhibin B (pg/ml)	SSAMH_B	Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)	2001	2002
SSINHBIN	Inhibin B (pg/ml)	SSAMH_C	Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)	2003	2004
LBDAPBSI	Apolipoprotein (B) (g/L)	ApoB_E	Apolipoprotein B	2007	2008
LBDAPBSI	Apolipoprotein (B) (g/L)	ApoB_F	Apolipoprotein B	2009	2010
LBDAPBSI	Apolipoprotein (B) (g/L)	ApoB_G	Apolipoprotein B	2011	2012
LBDAPBSI	Apolipoprotein (B) (g/L)	ApoB_H	Apolipoprotein B	2013	2014
LBDAPBSI	Apolipoprotein (B) (g/L)	APOB_I	Apolipoprotein B	2015	2016
LBXAPB	Apolipoprotein (B) (mg/dL)	ApoB_E	Apolipoprotein B	2007	2008
LBXAPB	Apolipoprotein (B) (mg/dL)	ApoB_F	Apolipoprotein B	2009	2010
LBXAPB	Apolipoprotein (B) (mg/dL)	ApoB_G	Apolipoprotein B	2011	2012
LBXAPB	Apolipoprotein (B) (mg/dL)	ApoB_H	Apolipoprotein B	2013	2014
LBXAPB	Apolipoprotein (B) (mg/dL)	APOB_I	Apolipoprotein B	2015	2016
WTSAF2YR	Fasting Subsample 2 Year MEC Weight	ApoB_E	Apolipoprotein B	2007	2008
WTSAF2YR	Fasting Subsample 2 Year MEC Weight	ApoB_F	Apolipoprotein B	2009	2010
WTSAF2YR	Fasting Subsample 2 Year MEC Weight	ApoB_G	Apolipoprotein B	2011	2012
WTSAF2YR	Fasting Subsample 2 Year MEC Weight	ApoB_H	Apolipoprotein B	2013	2014
WTSAF2YR	Fasting Subsample 2 Year MEC Weight	APOB_I	Apolipoprotein B	2015	2016
URX1NP	1-Aminonaphthalene, urine (pg/mL)	AA_H	Aromatic Amines - Urine	2013	2014
URX2NP	2-Aminonaphthalene, urine (pg/mL)	AA_H	Aromatic Amines - Urine	2013	2014
URX4BP	4-Aminobiphenyl, urine (pg/mL)	AA_H	Aromatic Amines - Urine	2013	2014
URXANS	o-Anisidine, urine (pg/mL)	AA_H	Aromatic Amines - Urine	2013	2014
URXDMN	2,6-Dimethylaniline, urine (pg/mL)	AA_H	Aromatic Amines - Urine	2013	2014
URXOTD	o-Toluidine, urine (pg/mL)	AA_H	Aromatic Amines - Urine	2013	2014
WTSA2YR	Subsample A Weights	AA_H	Aromatic Amines - Urine	2013	2014
URX1NP	1-Aminonaphthalene, urine (pg/mL)	AAS_H	Aromatic Amines - Urine - Special Sample	2013	2014
URX2NP	2-Aminonaphthalene, urine (pg/mL)	AAS_H	Aromatic Amines - Urine - Special Sample	2013	2014
URX4BP	4-Aminobiphenyl, urine (pg/mL)	AAS_H	Aromatic Amines - Urine - Special Sample	2013	2014
URXANS	o-Anisidine, urine (pg/mL)	AAS_H	Aromatic Amines - Urine - Special Sample	2013	2014
URXDMN	2,6-Dimethylaniline, urine (pg/mL)	AAS_H	Aromatic Amines - Urine - Special Sample	2013	2014
URXOTD	o-Toluidine, urine (pg/mL)	AAS_H	Aromatic Amines - Urine - Special Sample	2013	2014
WTFSM	Two Year Smoking Weights	AAS_H	Aromatic Amines - Urine - Special Sample	2013	2014
URX4MDA	4,4'-Diaminodiphenylmethane (4MDA) (ng/mL)	UADM_I	Aromatic Diamines - Urine	2015	2016
URX4TDA	2,4-Diaminotoluene (4TDA) (ng/mL)	UADM_I	Aromatic Diamines - Urine	2015	2016
URX5NDA	1,5-Diaminonaphthalene (5NDA) (ng/mL)	UADM_I	Aromatic Diamines - Urine	2015	2016
URX6TDA	2,6-Diaminotoluene (6TDA) (ng/mL)	UADM_I	Aromatic Diamines - Urine	2015	2016
URXPPDA	p-Phenylenediamine (PPDA) (ng/mL)	UADM_I	Aromatic Diamines - Urine	2015	2016
WTSA2YR	Subsample A Weights	UADM_I	Aromatic Diamines - Urine	2015	2016
URXUAS	Urinary arsenic, total (ug/L)	UTAS_H	Arsenic - Total - Urine	2013	2014
