variable_name	description
URXUDMA_L06UAS_C	Urinary Dimethylarsonic acid (ug/L);2003-2004
URXUMMA_L06UAS_C	Urinary Monomethylacrsonic acid (ug/L);2003-2004
URXUCR_UAS_F	Urinary creatinine (mg/dL);2009-2010
URXUAS_UAS_F	Urinary total arsenic (ug/L);2009-2010
URXUAS3_UAS_F	Urinary Arsenous acid (ug/L);2009-2010
URXUAS5_UAS_F	Urinary Arsenic acid (ug/L);2009-2010
URXUAB_UAS_F	Urinary Arsenobetaine (ug/L);2009-2010
URXUAC_UAS_F	Urinary Arsenocholine (ug/L);2009-2010
URXUDMA_UAS_F	Urinary Dimethylarsonic acid (ug/L);2009-2010
URXUMMA_UAS_F	Urinary Monomethylacrsonic acid (ug/L);2009-2010
URXUCR_UAS_G	Creatinine, urine (mg/dL);2011-2012
URXUAS_UAS_G	Urinary arsenic, total (ug/L);2011-2012
URXUAS3_UAS_G	Urinary Arsenous acid (ug/L);2011-2012
URXUAS5_UAS_G	Urinary Arsenic acid (ug/L);2011-2012
URXUAB_UAS_G	Urinary Arsenobetaine (ug/L);2011-2012
URXUAC_UAS_G	Urinary Arsenocholine (ug/L);2011-2012
URXUDMA_UAS_G	Urinary Dimethylarsinic acid (ug/L);2011-2012
URXUMMA_UAS_G	Urinary Monomethylarsonic acid (ug/L);2011-2012
URXUCR_UASS_G	Urinary creatinine (mg/dL);2011-2012
URXUAS_UASS_G	Urinary arsenic, total (ug/L);2011-2012
URXUAS3_UASS_G	Urinary Arsenous acid (ug/L);2011-2012
URXUAS5_UASS_G	Urinary Arsenic acid (ug/L);2011-2012
URXUAB_UASS_G	Urinary Arsenobetaine (ug/L);2011-2012
URXUAC_UASS_G	Urinary Arsenocholine (ug/L);2011-2012
URXUDMA_UASS_G	Urinary Dimethylarsinic acid (ug/L);2011-2012
URXUMMA_UASS_G	Urinary Monomethylarsonic acid (ug/L);2011-2012
URXATZ_UAM_E	Atrazine mercapturate (ug/L) result;2007-2008
URXDCZ_UAM_E	Diaminochloroatrazine result (ug/L);2007-2008
URXDTZ_UAM_E	Desethyl atrazine result (ug/L);2007-2008
URXUCR_UAM_E	Creatinine, urine (mg/dL);2007-2008
LBXBB1_L28PBE_C	2,2',4,4',5,5'-hexabromobiphenyl (pg/g);2003-2004
LBXBR1_L28PBE_C	2,2',4-tribromodiphenyl ether (pg/g);2003-2004
LBXBR2_L28PBE_C	2,4,4'-tribromodiphenyl ether (pg/g);2003-2004
LBXBR3_L28PBE_C	2,2',4,4'-tetrabromodiphenyl ether (pg/g);2003-2004
LBXBR4_L28PBE_C	2,2',3,4,4'-pentabromodiphenyl ether (pg/g);2003-2004
LBXBR5_L28PBE_C	2,2’,4,4’,5-pentabromodiphenyl ether (pg/g);2003-2004
LBXBR6_L28PBE_C	2,2',4,4',6-pentabromodiphenyl ether (pg/g);2003-2004
LBXBR7_L28PBE_C	2,2',4,4',5,5'-hexabromodiphenyl ether (pg/g);2003-2004
LBXBR8_L28PBE_C	2,2',4,4',5,6'-hexabromodiphenyl ether (pg/g);2003-2004
LBXBR9_L28PBE_C	2,2',3,4,4',5',6-heptabromodiphenyl ether (pg/g);2003-2004
LBXBR66_L28PBE_C	2,3',4,4'-tetrabromodiphenyl ether (pg/g);2003-2004
LBCBR11_BFRPOL_D	PBDE 209 (pg/g);2005-2006
LBCBR3LA_BFRPOL_D	2,2',4,4'-tetrmdiphnyl ether lpd adj(ng/g);2005-2006
LBCBR4_BFRPOL_D	2,2',3,4,4'-pentbromodiphenyl ether(pg/g);2005-2006
LBCBR5_BFRPOL_D	2,2',4,4',5-pentabromodiphnyl ether(pg/g);2005-2006
LBCBR6_BFRPOL_D	2,2',4,4',6-pentabromodiphyl ether(pg/g);2005-2006
LBCBR66_BFRPOL_D	2,3',4,4'-tetrabromodiphenyl ether(pg/g);2005-2006
LBCBR7_BFRPOL_D	2,2',4,4',5,5'-hxbromodiphnyl ether(pg/g);2005-2006
LBCBR8_BFRPOL_D	2,2',4,4',5,6'-hexabromodiphyl ether(pg/g);2005-2006
LBCBR9_BFRPOL_D	2,2',3,4,4',5',6-heptabromodiphyl ethr(pg/g);2005-2006
LBCBR11_BFRPOL_E	PBDE 209 (pg/g);2007-2008
LBCBR3LA_BFRPOL_E	2,2',4,4'-tetrmdiphnyl ether lpd adj(ng/g);2007-2008
LBCBR4_BFRPOL_E	2,2',3,4,4'-pentbromodiphenyl ether(pg/g);2007-2008
LBCBR5_BFRPOL_E	2,2',4,4',5-pentabromodiphnyl ether(pg/g);2007-2008
LBCBR6_BFRPOL_E	2,2',4,4',6-pentabromodiphyl ether(pg/g);2007-2008
LBCBR66_BFRPOL_E	2,3',4,4'-tetrabromodiphenyl ether(pg/g);2007-2008
LBCBR7_BFRPOL_E	2,2',4,4',5,5'-hxbromodiphnyl ether(pg/g);2007-2008
LBCBR8_BFRPOL_E	2,2',4,4',5,6'-hexabromodiphyl ether(pg/g);2007-2008
LBCBR9_BFRPOL_E	2,2',3,4,4',5',6-heptabromodiphyl ethr(pg/g);2007-2008
LBCBR11_BFRPOL_F	Decabromodiphenyl ether (pg/g);2009-2010
LBCBR3LA_BFRPOL_F	2,2',4,4'-Tetrabromodiphenyl ether Lipid Adjusted (ng/g);2009-2010
LBCBR4_BFRPOL_F	2,2',3,4,4'-Pentabromodiphenyl ether (pg/g);2009-2010
LBCBR5_BFRPOL_F	2,2',4,4',5-Pentabromodiphnyl ether(pg/g);2009-2010
LBCBR6_BFRPOL_F	2,2',4,4',6-Pentabromodiphyl ether(pg/g);2009-2010
LBCBR66_BFRPOL_F	2,3',4,4'-Tetrabromodiphenyl ether(pg/g);2009-2010
LBCBR7_BFRPOL_F	2,2',4,4',5,5'-Hxbromodiphnyl ether (pg/g);2009-2010
LBCBR8_BFRPOL_F	2,2',4,4',5,6'-Hexabromodiphenyl ether (pg/g);2009-2010
LBCBR9_BFRPOL_F	2,2',3,4,4',5',6-Heptabromodiphenyl ether (pg/g);2009-2010
LBCBR11_BFRPOL_G	Decabromodiphenyl ether (pg/g);2011-2012
LBCBR3LA_BFRPOL_G	2,2',4,4'-Tetrabromodiphenyl ether Lipid Adjusted (ng/g);2011-2012
LBCBR4_BFRPOL_G	2,2',3,4,4'-Pentabromodiphenyl ether (pg/g);2011-2012
LBCBR5_BFRPOL_G	2,2',4,4',5-Pentabromodiphnyl ether(pg/g);2011-2012
LBCBR6_BFRPOL_G	2,2',4,4',6-Pentabromodiphyl ether(pg/g);2011-2012
LBCBR66_BFRPOL_G	2,3',4,4'-Tetrabromodiphenyl ether(pg/g);2011-2012
LBCBR7_BFRPOL_G	2,2',4,4',5,5'-Hxbromodiphnyl ether (pg/g);2011-2012
LBCBR8_BFRPOL_G	2,2',4,4',5,6'-Hexabromodiphenyl ether (pg/g);2011-2012
LBCBR9_BFRPOL_G	2,2',3,4,4',5',6-Heptabromodiphenyl ether (pg/g);2011-2012
LBCBR11_BFRPOL_H	Decabromodiphenyl ether (pg/g);2013-2014
LBCBR3LA_BFRPOL_H	2,2',4,4'-Tetrabromodiphenyl ether Lipid Adjusted (ng/g);2013-2014
LBCBR4_BFRPOL_H	2,2',3,4,4'-Pentabromodiphenyl ether (pg/g);2013-2014
LBCBR5_BFRPOL_H	2,2',4,4',5-Pentabromodiphnyl ether (pg/g);2013-2014
LBCBR6_BFRPOL_H	2,2',4,4',6-Pentabromodiphyl ether (pg/g);2013-2014
LBCBR66_BFRPOL_H	2,3',4,4'-Tetrabromodiphenyl ether (pg/g);2013-2014
LBCBR7_BFRPOL_H	2,2',4,4',5,5'-Hxbromodiphnyl ether (pg/g);2013-2014
LBCBR8_BFRPOL_H	2,2',4,4',5,6'-Hexabromodiphenyl ether (pg/g);2013-2014
LBCBR9_BFRPOL_H	2,2',3,4,4',5',6-Heptabromodiphenyl ether (pg/g);2013-2014
LBCBR11_BFRPOL_I	Decabromodiphenyl ether (pg/g);2015-2016
LBCBR3LA_BFRPOL_I	2,2',4,4'-Tetrabromodiphenyl ether Lipid Adjusted (ng/g);2015-2016
LBCBR4_BFRPOL_I	2,2',3,4,4'-Pentabromodiphenyl ether (pg/g);2015-2016
LBCBR5_BFRPOL_I	2,2',4,4',5-Pentabromodiphnyl ether (pg/g);2015-2016
LBCBR6_BFRPOL_I	2,2',4,4',6-Pentabromodiphyl ether (pg/g);2015-2016
LBCBR66_BFRPOL_I	2,3',4,4'-Tetrabromodiphenyl ether (pg/g);2015-2016
LBCBR7_BFRPOL_I	2,2',4,4',5,5'-Hxbromodiphnyl ether (pg/g);2015-2016
LBCBR8_BFRPOL_I	2,2',4,4',5,6'-Hexabromodiphenyl ether (pg/g);2015-2016
LBCBR9_BFRPOL_I	2,2',3,4,4',5',6-Heptabromodiphenyl ether (pg/g);2015-2016
LBXBCD_PBCD_D	Cadmium (ug/L);2005-2006
LBXBPB_PBCD_D	Lead (ug/dL);2005-2006
LBDBPBSI_PBCD_D	Lead (umol/L);2005-2006
LBXTHG_PBCD_D	Mercury, total (ug/L);2005-2006
LBXBCD_PBCD_E	Cadmium (ug/L);2007-2008
LBXBPB_PBCD_E	Lead (ug/dL);2007-2008
LBDBPBSI_PBCD_E	Lead (umol/L);2007-2008
LBXTHG_PBCD_E	Mercury, total (ug/L);2007-2008
LBXBCD_L06BMT_C	Cadmium (ug/L);2003-2004
LBXBPB_L06BMT_C	Lead (ug/dL);2003-2004
LBDBPBSI_L06BMT_C	Lead (umoL/L);2003-2004
LBXTHG_L06BMT_C	Mercury, total (ug/L);2003-2004
LBXIHG_L06BMT_C	Mercury, inorganic (ug/L);2003-2004
LBDIHGSI_L06BMT_C	Mercury, inorganic (umoL/L);2003-2004
LBXBCD_PBCD_F	Blood cadmium (ug/L);2009-2010
LBXBPB_PBCD_F	Blood lead (ug/dL);2009-2010
LBDBPBSI_PBCD_F	 ;2009-2010
LBXTHG_PBCD_F	Mercury, total (ug/L);2009-2010
LBXBPB_LAB06	Lead (ug/dL);1999-2000
LBDBPBSI_LAB06	;1999-2000
LBXBCD_LAB06	Cadmium (ug/L);1999-2000
LBXEPP_LAB06	Protoporphyrin (ug/dL RBC);1999-2000
LBXIRN_LAB06	Iron(ug/dL);1999-2000
LBXTHG_LAB06	Mercury, total (ug/L);1999-2000
LBXIHG_LAB06	Mercury, Inorganic (ug/L);1999-2000
LBDIHGSI_LAB06	Mercury, Inorganic (umol/L);1999-2000
LBXSEL_LAB06	Selenium (ng/mL);1999-2000
LBXGTC_LAB06	Gamma tocopherol (ug/dL);1999-2000
URXUHG_LAB06	Mercury, urine (ng/mL);1999-2000
LBXBCD_L06_B	Cadmium (ug/L);2001-2002
LBXBPB_L06_B	Lead (ug/dL);2001-2002
LBDBPBSI_L06_B	Lead (umol/L);2001-2002
LBXTHG_L06_B	Mercury, total (ug/L);2001-2002
LBXIHG_L06_B	Mercury, inorganic (ug/L);2001-2002
LBDIHGSI_L06_B	Mercury, inorganic (umol/L);2001-2002
URXUHG_L06_B	Mercury, urine (ng/mL);2001-2002
LB2BCDSI_L06_2_B	Cadmium (nmol/L);2001-2002
LB2RBF_L06_2_B	Folate, RBC (ng/mL RBC);2001-2002
LB2HCY_L06_2_B	Homocysteine(umol/L);2001-2002
LB2FER_L06_2_B	Ferritin (ng/mL);2001-2002
LB2FOL_L06_2_B	Folate, serum (ng/mL);2001-2002
LB2MMA_L06_2_B	Methylmalonic acid (umol/L);2001-2002
LB2COT_L06_2_B	Cotinine (ng/mL);2001-2002
LBXBPB_PBCD_G	Blood lead (ug/dL);2011-2012
LBDBPBSI_PBCD_G	Blood lead (umol/L);2011-2012
LBXBCD_PBCD_G	Blood cadmium (ug/L);2011-2012
LBXTHG_PBCD_G	Blood mercury, total (ug/L);2011-2012
LBXBSE_PBCD_G	Blood selenium(ug/L);2011-2012
LBDBSESI_PBCD_G	Blood selenium (umol/L);2011-2012
LBXBMN_PBCD_G	Blood manganese (ug/L);2011-2012
LBDBMNSI_PBCD_G	Blood manganese (umol/L);2011-2012
URXUCR_CAFE_F	Creatinine, urine (mg/dL);2009-2010
URXMU1_CAFE_F	1-methyluric acid (umol/L);2009-2010
URXMU2_CAFE_F	3-methyluric acid (umol/L);2009-2010
URXMU3_CAFE_F	7-methyluric acid (umol/L);2009-2010
URXMU4_CAFE_F	1,3-dimethyluric acid (umol/L);2009-2010
URXMU5_CAFE_F	1,7-dimethyluric acid (umol/L);2009-2010
URXMU6_CAFE_F	3,7-dimethyluric acid (umol/L);2009-2010
URXMU7_CAFE_F	1,3,7-trimethyluric acid (umol/L);2009-2010
URXMX1_CAFE_F	1-methylxanthine (umol/L);2009-2010
URXMX2_CAFE_F	3-methylxanthine (umol/L);2009-2010
URXMX3_CAFE_F	7-methylxanthine (umol/L);2009-2010
URXMX4_CAFE_F	1,3-dimethylxanthine(theophylline)umol/L;2009-2010
URXMX5_CAFE_F	1,7-dimethylxanthine(paraxanthine)(umol/L);2009-2010
URXMX6_CAFE_F	3,7-dimethylxanthine(theobromine)(umol/L);2009-2010
URXMX7_CAFE_F	1,3,7-trimethylxanthine(caffeine)(umol/L);2009-2010
URXAMU_CAFE_F	5-acetylamino-6-amino-3-methyluracil(umol/L);2009-2010
URXMU1_CAFE_G	1-methyluric acid (umol/L);2011-2012
URXMU2_CAFE_G	3-methyluric acid (umol/L);2011-2012
URXMU3_CAFE_G	7-methyluric acid (umol/L);2011-2012
URXMU4_CAFE_G	1,3-dimethyluric acid (umol/L);2011-2012
URXMU5_CAFE_G	1,7-dimethyluric acid (umol/L);2011-2012
URXMU6_CAFE_G	3,7-dimethyluric acid (umol/L);2011-2012
URXMU7_CAFE_G	1,3,7-trimethyluric acid (umol/L);2011-2012
URXMX1_CAFE_G	1-methylxanthine (umol/L);2011-2012
URXMX2_CAFE_G	3-methylxanthine (umol/L);2011-2012
URXMX3_CAFE_G	7-methylxanthine (umol/L);2011-2012
URXMX4_CAFE_G	1,3-dimethylxanthine (theophylline)(umol/L);2011-2012
URXMX5_CAFE_G	1,7-dimethylxanthine (paraxanthine) (umol/L);2011-2012
URXMX6_CAFE_G	3,7-dimethylxanthine (theobromine)(umol/L);2011-2012
URXMX7_CAFE_G	1,3,7-trimethylxanthine (caffeine)(umol/L);2011-2012
URXAMU_CAFE_G	5-acetylamino-6-amino-3-methyluracil (umol/L);2011-2012
URXMU1_CAFE_H	1-methyluric acid (umol/L);2013-2014
URXMU2_CAFE_H	3-methyluric acid (umol/L);2013-2014
URXMU3_CAFE_H	7-methyluric acid (umol/L);2013-2014
URXMU4_CAFE_H	1,3-dimethyluric acid (umol/L);2013-2014
URXMU5_CAFE_H	1,7-dimethyluric acid (umol/L);2013-2014
URXMU6_CAFE_H	3,7-dimethyluric acid (umol/L);2013-2014
URXMU7_CAFE_H	1,3,7-trimethyluric acid (umol/L);2013-2014
URXMX1_CAFE_H	1-methylxanthine (umol/L);2013-2014
URXMX2_CAFE_H	3-methylxanthine (umol/L);2013-2014
URXMX3_CAFE_H	7-methylxanthine (umol/L);2013-2014
URXMX4_CAFE_H	1,3-dimethylxanthine(theophylline)umol/L;2013-2014
URXMX5_CAFE_H	1,7-dimethylxanthine(paraxanthine)umol/L;2013-2014
URXMX6_CAFE_H	3,7-dimethylxanthine(theobromine)umol/L;2013-2014
URXMX7_CAFE_H	1,3,7-trimethylxanthine(caffeine)umol/L;2013-2014
URXAMU_CAFE_H	5-acetylamino-6-amino-3-methyluracil (umol/L);2013-2014
LBXTR_TRIGLY_E	Triglyceride (mg/dL);2007-2008
LBXTR_LAB13AM	Triglyceride (mg/dL);1999-2000
LBXTR_L13AM_C	Triglyceride (mg/dL);2003-2004
LBXTR_L13AM_B	Triglyceride (mg/dL);2001-2002
LBXTR_TRIGLY_F	Triglyceride (mg/dL);2009-2010
LBXTR_TRIGLY_G	Triglyceride (mg/dL);2011-2012
LBXTR_TRIGLY_H	Triglyceride (mg/dL);2013-2014
LBXTR_TRIGLY_D	Triglyceride (mg/dL);2005-2006
LBDAPBSI_TRIGLY_D	Apolipoprotein (B) (g/L);2005-2006
LBXTR_TRIGLY_I	Triglyceride (mg/dL);2015-2016
LBXTR_TRIGLY_J	Triglyceride (mg/dL);2017-2018
LBXTC_TCHOL_E	Total Cholesterol (mg/dL);2007-2008
LBXTC_TCHOL_D	Total cholesterol (mg/dL);2005-2006
LBXTC_TCHOL_F	Total Cholesterol (mg/dL);2009-2010
LBXTC_TCHOL_G	Total Cholesterol( mg/dL);2011-2012
LBXTC_TCHOL_H	Total Cholesterol( mg/dL);2013-2014
LBXTC_TCHOL_I	Total Cholesterol (mg/dL);2015-2016
LBXTC_TCHOL_J	Total Cholesterol (mg/dL);2017-2018
LBXTC_LAB13	Total cholesterol (mg/dL);1999-2000
LBXTC_L13_B	Total cholesterol (mg/dL);2001-2002
LBXTC_L13_C	Total Cholesterol (mg/dL);2003-2004
URXUCM_UCM_J	Chromium, Urine (ug/L);2017-2018
LBDBCRSI_CRCO_I	Chromium (nmol/L);2015-2016
LBDBCOSI_CRCO_I	Cobalt (nmol/L);2015-2016
LBDBCRSI_CRCO_J	Chromium (nmol/L);2017-2018
LBDBCOSI_CRCO_J	Cobalt (nmol/L);2017-2018
LBXHCT_CBC_J	Hematocrit (%);2017-2018
LBXHCT_CBC_E	Hematocrit (%);2007-2008
LBXHCT_LAB25	Hematocrit (%);1999-2000
LBXHCT_CBC_D	Hematocrit (%);2005-2006
LBXHCT_L25_C	Hematocrit (%);2003-2004
LBXHCT_L25_B	Hematocrit (%);2001-2002
LBXHCT_CBC_F	Hematocrit (%);2009-2010
LBXHCT_CBC_G	Hematocrit (%);2011-2012
LBXHCT_CBC_H	Hematocrit (%);2013-2014
LBXHCT_CBC_I	Hematocrit (%);2015-2016
LB2MC_L25_2_B	MCHC (g/dL);2001-2002
URXUCR_CUSEZN_G	Urinary creatinine (mg/dL);2011-2012
LBXSCU_CUSEZN_G	Serum Copper (ug/dL);2011-2012
LBXSSE_CUSEZN_G	Serum Selenium (ug/L);2011-2012
LBXSZN_CUSEZN_G	Serum Zinc (ug/dL);2011-2012
LBXSCU_CUSEZN_H	Serum Copper (ug/dL);2013-2014
LBXSSE_CUSEZN_H	Serum Selenium (ug/L);2013-2014
LBXSZN_CUSEZN_H	Serum Zinc (ug/dL);2013-2014
URXUCR_CUSEZN_H	Urinary creatinine (mg/dL);2013-2014
LBXSCU_CUSEZN_I	Serum Copper (ug/dL);2015-2016
LBXSSE_CUSEZN_I	Serum Selenium (ug/L);2015-2016
LBXSZN_CUSEZN_I	Serum Zinc (ug/dL);2015-2016
URXNAL_COTNAL_E	NNAL , urine (ng/mL);2007-2008
URXUCR_COTNAL_E	Urinary Creatinine (mg/dL);2007-2008
URXNAL_COTNAL_F	Urinary Total NNAL (ng/mL);2009-2010
URXUCR_COTNAL_F	Urinary Creatinine (mg/dL);2009-2010
URXNAL_COTNAL_G	Urinary Total NNAL (ng/mL);2011-2012
URXUCR_COTNAL_G	Urinary Creatinine (mg/dL);2011-2012
LBXHCT_COT_H	Hydroxycotinine, Serum (ng/mL);2013-2014
LBXHCT_COT_I	Hydroxycotinine, Serum (ng/mL);2015-2016
LBXHCT_COT_J	Hydroxycotinine, Serum (ng/mL);2017-2018
URXCOTT_UCOT_H	Total Cotinine, urine (ng/mL);2013-2014
URXHCTT_UCOT_H	Total Hydroxycotinine, urine (ng/mL);2013-2014
